Name,Type,Array,Description,Note,Obsolete
FrameIndex,uint,,Frame number in file,,,
FrameTime,uint64,,PC time stamp when recorded; microseconds since epoch (Jan 1st 1970),,,
Version,uint,,ARIS file format version = 0x05464444,,,
Status,uint,,,,,
sonarTimeStamp,uint64,,On-sonar microseconds since epoch (Jan 1st 1970),,,
TS_Day,uint,,,,,
TS_Hour,uint,,,,,
TS_Minute,uint,,,,,
TS_Second,uint,,,,,
TS_Hsecond,uint,,,,,
TransmitMode,uint,,,,,
WindowStart,float,,Window start in meters,,,
WindowLength,float,,Window length in meters,,,
Threshold,uint,,,,,
Intensity,int,,,,,
ReceiverGain,uint,,In frame  fromsonar?,,,
DegC1,uint,,In frame  fromsonar? Which values?,,,
DegC2,uint,,In frame  fromsonar? Which values?,,,
Humidity,uint,,review,,,
Focus,uint,,review,,,
Battery,uint,,review,,,
UserValue1,float,,port 700 user data?,,,
UserValue2,float,,,,,
UserValue3,float,,,,,
UserValue4,float,,,,,
UserValue5,float,,,,,
UserValue6,float,,,,,
UserValue7,float,,,,,
UserValue8,float,,,,,
Velocity,float,,Platform velocity from AUV integration,,,
Depth,float,,Platform depth from AUV integration,,,
Altitude,float,,Platform altitude from AUV integration,,,
Pitch,float,,Platform pitch from AUV integration,,,
PitchRate,float,,Platform pitch rate from AUV integration,,,
Roll,float,,Platform roll from AUV integration,,,
RollRate,float,,Platform roll rate from AUV integration,,,
Heading,float,,Platform heading from AUV integration,,,
HeadingRate,float,,Platform heading rate from AUV integration,,,
CompassHeading,float,,Sonar compass heading output,,,
CompassPitch,float,,Sonar compass pitch output,,,
CompassRoll,float,,Sonar compass roll output,,,
Latitude,double,,from auxiliary GPS sensor,,,
Longitude,double,,from auxiliary GPS sensor,,,
SonarPosition,float,,,special for PNNL,,
ConfigFlags,uint,,,,,
BeamTilt,float,,,,,
TargetRange,float,,,,,
TargetBearing,float,,,,,
TargetPresent,uint,,,,,
FirmwareRevision,uint,,review,,,
Flags,uint,,,,,
SourceFrame,uint,,Source file frame number for CSOT output files,,,
WaterTemp,float,,Water temperature from housing temperature sensor,,,
TimerPeriod,uint,,,,,
SonarX,float,,Sonar X location for 3D processing,"Bluefin, external sensor data",,
SonarY,float,,Sonar Y location for 3D processing,,,
SonarZ,float,,Sonar Z location for 3D processing,,,
SonarPan,float,,X2 pan output,,,
SonarTilt,float,,X2 tilt output,,,
SonarRoll,float,,X2 roll output,,,
PanPNNL,float,,,,,
TiltPNNL,float,,,,,
RollPNNL,float,,,,,
VehicleTime,double,,,special for Bluefin HAUV or other AUV integration,,
TimeGGK,float,,GPS output from NMEA GGK message,,,
DateGGK,uint,,GPS output from NMEA GGK message,,,
QualityGGK,uint,,GPS output from NMEA GGK message,,,
NumSatsGGK,uint,,GPS output from NMEA GGK message,,,
DOPGGK,float,,GPS output from NMEA GGK message,,,
EHTGGK,float,,GPS output from NMEA GGK message,,,
HeaveTSS,float,,external sensor,,,
